address,date,time,SMS Type,Amount (BHD),Merchant,Transaction Category,body
NBK Bahrain,07-04-25,10:39:39 PM,Purchase,2.112,JASMIS CORPORATION,General,Thank you for using credit card 4285XXX2529 for BHD 2.112 at JASMIS CORPORATION on 07/04/2025 22:39. Available balance: BHD 3497.888. For enquiry 17155555.
NBK Bahrain,08-04-25,8:07:01 PM,Purchase,31.619,WADI CINEMA CONCES,General,Thank you for using credit card 4285XXX2529 for BHD 31.619 at WADI CINEMA CONCES on 08/04/2025 20:07. Available balance: BHD 3466.269. For enquiry 17155555.
NBK Bahrain,09-04-25,12:33:28 AM,Purchase,17.89,RAMEZ INTERNATIONA,General,Thank you for using credit card 4285XXX2529 for BHD 17.890 at RAMEZ INTERNATIONA on 09/04/2025 00:33. Available balance: BHD 3448.379. For enquiry 17155555.
NBK Bahrain,09-04-25,6:23:23 PM,OTP,,,,Your OTP for Login to Mobile Banking is 792553. It is valid for 5 Minutes.
NBK Bahrain,09-04-25,10:43:47 PM,Purchase,2.969,VENCHI,General,Thank you for using credit card 4285XXX2529 for BHD 2.969 at VENCHI on 09/04/2025 22:43. Available balance: BHD 3445.410. For enquiry 17155555.
NBK Bahrain,10-04-25,3:41:51 AM,Purchase,6.15,ARSAN GENTS TAILOR,General,Thank you for using credit card 4285XXX2529 for BHD 6.150 at ARSAN GENTS TAILOR on 10/04/2025 03:41. Available balance: BHD 3439.260. For enquiry 17155555.
NBK Bahrain,10-04-25,8:02:31 AM,Purchase,3.153,ARAB VAPE GENERAL,General,Thank you for using credit card 4285XXX2529 for BHD 3.153 at ARAB VAPE GENERAL on 10/04/2025 08:02. Available balance: BHD 3436.107. For enquiry 17155555.
NBK Bahrain,11-04-25,6:06:49 AM,Purchase,12.681,HEALTHY CALORIE MO,Food & Beverages,Thank you for using credit card 4285XXX2529 for BHD 12.681 at HEALTHY CALORIE MO on 11/04/2025 06:06. Available balance: BHD 3423.426. For enquiry 17155555.
NBK Bahrain,11-04-25,6:12:46 AM,Purchase,28.422,PAYPAL *PLAYSTATIO,General,Thank you for using credit card 4285XXX2529 for BHD 28.422 at PAYPAL *PLAYSTATIO on 11/04/2025 06:12. Available balance: BHD 3395.004. For enquiry 17155555.
NBK Bahrain,11-04-25,10:36:08 AM,Purchase,2.727,PAYPAL *PLAYSTATIO,General,Thank you for using credit card 4285XXX2529 for BHD 2.727 at PAYPAL *PLAYSTATIO on 11/04/2025 10:36. Available balance: BHD 3392.277. For enquiry 17155555.
NBK Bahrain,11-04-25,12:53:26 PM,Purchase,4.908,BOSS SPA AND SALON,General,Thank you for using credit card 4285XXX2529 for BHD 4.908 at BOSS SPA AND SALON on 11/04/2025 12:53. Available balance: BHD 3387.369. For enquiry 17155555.
NBK Bahrain,11-04-25,12:54:00 PM,OTP,,,,Your OTP for Login to Mobile Banking is 481334. It is valid for 5 Minutes.
NBK Bahrain,11-04-25,9:42:32 PM,Purchase,10.586,KFC,Food & Beverages,Thank you for using credit card 4285XXX2529 for BHD 10.586 at KFC on 11/04/2025 21:42. Available balance: BHD 3376.783. For enquiry 17155555.
NBK Bahrain,12-04-25,4:53:06 AM,Purchase,7.393,WEST RIFFA PETROL,General,Thank you for using credit card 4285XXX2529 for BHD 7.393 at WEST RIFFA PETROL on 12/04/2025 04:53. Available balance: BHD 3369.390. For enquiry 17155555.
NBK Bahrain,12-04-25,6:11:55 AM,Purchase,10.974,SALLA APP EST,General,Thank you for using credit card 4285XXX2529 for BHD 10.974 at SALLA APP EST on 12/04/2025 06:11. Available balance: BHD 3358.416. For enquiry 17155555.
NBK Bahrain,13-04-25,8:00:01 AM,Purchase,7.017,ALQALLAF PEST CONT,General,Thank you for using credit card 4285XXX2529 for BHD 7.017 at ALQALLAF PEST CONT on 13/04/2025 08:00. Available balance: BHD 3351.399. For enquiry 17155555.
NBK Bahrain,13-04-25,12:28:25 PM,Purchase,5.967,WINGSTOP,General,Thank you for using credit card 4285XXX2529 for BHD 5.967 at WINGSTOP on 13/04/2025 12:28. Available balance: BHD 3345.432. For enquiry 17155555.
NBK Bahrain,13-04-25,9:31:18 PM,Purchase,5.239,FOODS AT HOME WLL,General,Thank you for using credit card 4285XXX2529 for BHD 5.239 at FOODS AT HOME WLL on 13/04/2025 21:31. Available balance: BHD 3340.193. For enquiry 17155555.
NBK Bahrain,13-04-25,9:50:16 PM,OTP,,,,Your OTP for Login to Mobile Banking is 324032. It is valid for 5 Minutes.
NBK Bahrain,14-04-25,5:49:15 AM,Purchase,1.034,UNITED INSURANCE C,General,Thank you for using credit card 4285XXX2529 for BHD 1.034 at UNITED INSURANCE C on 14/04/2025 05:49. Available balance: BHD 3339.159. For enquiry 17155555.
NBK Bahrain,14-04-25,6:22:57 AM,Purchase,5.654,OSLO CAFE,Food & Beverages,Thank you for using credit card 4285XXX2529 for BHD 5.654 at OSLO CAFE on 14/04/2025 06:22. Available balance: BHD 3333.505. For enquiry 17155555.
NBK Bahrain,14-04-25,5:36:01 PM,Purchase,13.571,CORTADO CAFE,Food & Beverages,Thank you for using credit card 4285XXX2529 for BHD 13.571 at CORTADO CAFE on 14/04/2025 17:36. Available balance: BHD 3319.934. For enquiry 17155555.
NBK Bahrain,14-04-25,6:20:07 PM,Purchase,1.694,JESR,General,Thank you for using credit card 4285XXX2529 for BHD 1.694 at JESR on 14/04/2025 18:20. Available balance: BHD 3318.240. For enquiry 17155555.
NBK Bahrain,14-04-25,6:56:04 PM,OTP,,,,Your OTP for Login to Mobile Banking is 510442. It is valid for 5 Minutes.
NBK Bahrain,15-04-25,9:38:26 AM,Purchase,5.452,BAHRAIN DUTY FREE,General,Thank you for using credit card 4285XXX2529 for BHD 5.452 at BAHRAIN DUTY FREE on 15/04/2025 09:38. Available balance: BHD 3312.788. For enquiry 17155555.
NBK Bahrain,16-04-25,12:16:23 AM,Purchase,8.939,LEBANESE RESTAURAN,General,Thank you for using credit card 4285XXX2529 for BHD 8.939 at LEBANESE RESTAURAN on 16/04/2025 00:16. Available balance: BHD 3303.849. For enquiry 17155555.
NBK Bahrain,16-04-25,5:05:49 PM,OTP,,,,Your OTP for Login to Mobile Banking is 397158. It is valid for 5 Minutes.
NBK Bahrain,17-04-25,7:28:24 AM,Purchase,2.074,ROAST WLL,General,Thank you for using credit card 4285XXX2529 for BHD 2.074 at ROAST WLL on 17/04/2025 07:28. Available balance: BHD 3301.775. For enquiry 17155555.
NBK Bahrain,17-04-25,8:30:43 AM,Purchase,1.098,MEGAMART - SANAD,General,Thank you for using credit card 4285XXX2529 for BHD 1.098 at MEGAMART - SANAD on 17/04/2025 08:30. Available balance: BHD 3300.677. For enquiry 17155555.
NBK Bahrain,17-04-25,8:13:33 PM,Purchase,1.914,PAYPAL *SHOPIFY,General,Thank you for using credit card 4285XXX2529 for BHD 1.914 at PAYPAL *SHOPIFY on 17/04/2025 20:13. Available balance: BHD 3298.763. For enquiry 17155555.
NBK Bahrain,18-04-25,8:34:05 PM,Purchase,20.772,ALOSRA,Shopping/Grocery,Thank you for using credit card 4285XXX2529 for BHD 20.772 at ALOSRA on 18/04/2025 20:34. Available balance: BHD 3277.991. For enquiry 17155555.
NBK Bahrain,18-04-25,9:06:38 PM,OTP,,,,Your OTP for Login to Mobile Banking is 298275. It is valid for 5 Minutes.
NBK Bahrain,20-04-25,9:44:32 AM,Purchase,2.662,I POINT,General,Thank you for using credit card 4285XXX2529 for BHD 2.662 at I POINT on 20/04/2025 09:44. Available balance: BHD 3275.329. For enquiry 17155555.
NBK Bahrain,20-04-25,12:28:37 PM,Purchase,7.404,ALJAZIRA S/MARKET-,Shopping/Grocery,Thank you for using credit card 4285XXX2529 for BHD 7.404 at ALJAZIRA S/MARKET- on 20/04/2025 12:28. Available balance: BHD 3267.925. For enquiry 17155555.
NBK Bahrain,21-04-25,4:35:33 AM,Purchase,12.616,TAP*Amakin Main,General,Thank you for using credit card 4285XXX2529 for BHD 12.616 at TAP*Amakin Main on 21/04/2025 04:35. Available balance: BHD 3255.309. For enquiry 17155555.
NBK Bahrain,21-04-25,1:31:21 PM,Purchase,13.648,ARAB VAPE GENERAL,General,Thank you for using credit card 4285XXX2529 for BHD 13.648 at ARAB VAPE GENERAL on 21/04/2025 13:31. Available balance: BHD 3241.661. For enquiry 17155555.
NBK Bahrain,21-04-25,3:31:13 PM,Purchase,11.851,AL LIWAN CINEMA WL,General,Thank you for using credit card 4285XXX2529 for BHD 11.851 at AL LIWAN CINEMA WL on 21/04/2025 15:31. Available balance: BHD 3229.810. For enquiry 17155555.
NBK Bahrain,22-04-25,5:56:42 AM,OTP,,,,Your OTP for Login to Mobile Banking is 217465. It is valid for 5 Minutes.
NBK Bahrain,23-04-25,3:52:42 AM,Purchase,24.547,FUCOM INTERNATIONA,General,Thank you for using credit card 4285XXX2529 for BHD 24.547 at FUCOM INTERNATIONA on 23/04/2025 03:52. Available balance: BHD 3205.263. For enquiry 17155555.
NBK Bahrain,23-04-25,6:32:03 PM,Purchase,10.511,HEALTHY CALORIE MO,Food & Beverages,Thank you for using credit card 4285XXX2529 for BHD 10.511 at HEALTHY CALORIE MO on 23/04/2025 18:32. Available balance: BHD 3194.752. For enquiry 17155555.
NBK Bahrain,24-04-25,1:49:26 AM,Purchase,2.581,UNITED INSURANCE -,General,Thank you for using credit card 4285XXX2529 for BHD 2.581 at UNITED INSURANCE - on 24/04/2025 01:49. Available balance: BHD 3192.171. For enquiry 17155555.
NBK Bahrain,24-04-25,4:29:53 AM,Purchase,16.726,WINGSTOP,General,Thank you for using credit card 4285XXX2529 for BHD 16.726 at WINGSTOP on 24/04/2025 04:29. Available balance: BHD 3175.445. For enquiry 17155555.
NBK Bahrain,24-04-25,4:43:09 PM,Purchase,4.442,RESTAURANT BAIT AL,Food & Beverages,Thank you for using credit card 4285XXX2529 for BHD 4.442 at RESTAURANT BAIT AL on 24/04/2025 16:43. Available balance: BHD 3171.003. For enquiry 17155555.
NBK Bahrain,25-04-25,12:50:46 AM,Purchase,24.421,DR EYAD JAMSHEER C,General,Thank you for using credit card 4285XXX2529 for BHD 24.421 at DR EYAD JAMSHEER C on 25/04/2025 00:50. Available balance: BHD 3146.582. For enquiry 17155555.
NBK Bahrain,25-04-25,10:45:22 AM,Purchase,17.129,TAP PAYMENTS COMPA,General,Thank you for using credit card 4285XXX2529 for BHD 17.129 at TAP PAYMENTS COMPA on 25/04/2025 10:45. Available balance: BHD 3129.453. For enquiry 17155555.
